h5_file,scenario_year,scenario_label,node,carrier,carrier_class,annual_import,annual_export,import_cost,export_revenue,net_cost
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,olefins,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,propylene,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,steam,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,syngas,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,CO2,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,CO2captured,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,HBfeed,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,MPW,MPW,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,ammonia,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,biomass,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,crackergas,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,cracking_byproducts,Chemical products,0.0,2560953.778429933,0.0,1513523683.0520902,-1513523683.0520902
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,electricity,Electricity,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,electricity_grid,Electricity,2661747.2897248603,0.0,244219212.6387527,0.0,244219212.6387527
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,ethylene,Chemical products,0.0,150238.44460748322,0.0,1502.3844460748323,-1502.3844460748323
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,feedgas,Fossil feedstock,0.0,364874.116669649,0.0,187654758.20320058,-187654758.20320058
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,hydrogen,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,hydrogen_transported,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,methane,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,methane_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,methanol,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,naphtha,Fossil feedstock,6529713.866471017,0.0,4779750550.2567835,0.0,4779750550.2567835
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,naphtha_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,nitrogen,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,olefins,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,propylene,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,steam,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL1,syngas,Chemical products,0.0,176216.4135534367,0.0,1762.1641355343668,-1762.1641355343668
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,CO2,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,CO2captured,CO2,0.0,0.0,0.0,0.0,0.0
