node,scenario_year,scenario_label,technology_class,annual_cost
NL4,2030,2030,Others,112025781.04261896
NL4,2040,2040,Bio,283888.5898756591
NL4,2040,2040,Conventional,326414699.3528141
NL4,2040,2040,DAC,419767329.5541094
NL4,2040,2040,Electrification,118262961.23439783
NL4,2040,2040,MPW,14457579.641924452
NL4,2040,2040,Network connection,52400827.4547859
NL4,2040,2040,Others,79102164.21714014
NL4,2040,2040,Storage,-0.6222436683692611
NL4,2050,2050,Bio,174282.9678536641
NL4,2050,2050,Conventional,79452110.35045859
NL4,2050,2050,DAC,1503553841.0683231
NL4,2050,2050,Electrification,244292832.3639883
NL4,2050,2050,Electrolysis,6726871.478042768
NL4,2050,2050,MPW,8875699.756298484
NL4,2050,2050,Network connection,124769840.42263635
NL4,2050,2050,Others,63465952.01138277
NL4,2050,2050,Storage,-0.03192986780407098
