node,component,capex_tot,opex_fixed,opex_variable,annual_cost_undiscounted,scenario_year,intertemporal_discount_factor,annual_cost,scenario_label,h5_file
NL2,OlefinSeparation,65914893.202318765,56290138.59435772,0.0,122205031.79667649,2020,1.0,122205031.79667649,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,SteamReformer,49389792.69821985,21088999.322171338,0.0,70478792.0203912,2020,1.0,70478792.0203912,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,WGS_syngas,4.027631707754848,1.6767686149634866,0.0,5.704400322718334,2020,1.0,5.704400322718334,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,electricity_grid_connection_NL,157.5978507434597,13403113.509987772,0.0,13403271.107838515,2020,1.0,13403271.107838515,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,feedgas_mixer,89.50179332081446,0.0,0.0,89.50179332081446,2020,1.0,89.50179332081446,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,naphtha_mixer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,Boiler_El,853810.3029428114,91142.33891425526,0.0,944952.6418570667,2020,1.0,944952.6418570667,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,CO2_mixer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,CO2toEmissions,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,CrackerFurnace,0.0,0.0,-0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,HBfeed_mixer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,HBfeed_splitter,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
