country,mean_hourly,max_hourly,p99_hourly,annual_energy_weighted,share_E0,share_nan_ci,hours_gt_50,hours_gt_100,scenario,mode
BE,45.02106544298929,347.2433173514804,246.47127152034935,46.475532658574025,0.0,0.0,2543.0,2053.0,rigid_2030,net
DE,75.01121821267692,575.4700149443563,473.1856281493507,85.64078077906116,0.0,0.0,2797.0,2205.0,rigid_2030,net
NL,19.96985596410362,292.236505624232,220.05405056730078,20.133038678223265,0.0,0.0,1318.0,819.0,rigid_2030,gross
BE,45.02332551544962,347.24867712968074,246.47348392582015,46.475532658574025,0.0,0.0,2543.0,2053.0,rigid_2030,gross
DE,75.01580672521916,575.4762051644847,473.187212282563,85.64078077906116,0.0,0.0,2797.0,2205.0,rigid_2030,gross
NL,8.565872911384902,300.18374798250267,187.89883271948952,6.339083588058454,0.0,0.0,542.0,272.0,rigid_2040,net
BE,15.998964766580274,455.11572454981496,269.44833129828646,14.626452740416646,0.0,0.0,907.0,525.0,rigid_2040,net
DE,27.31989842804545,331.361334531619,267.9991047116479,26.93743214527655,0.0,0.0,1533.0,939.0,rigid_2040,net
NL,8.56631055290024,300.1876932254807,187.90142165004642,6.339083588058454,0.0,0.0,542.0,272.0,rigid_2040,gross
BE,16.001830946379314,455.1423518426645,269.46639139136875,14.626452740416646,0.0,0.0,907.0,525.0,rigid_2040,gross
DE,28.528824183880232,338.1190120039811,272.1174936048317,26.93743214527655,0.0,0.0,1583.0,978.0,rigid_2040,gross
NL,8.048918797012128,329.89386598883124,171.51739753575734,6.617279318061482,0.0,0.0,517.0,287.0,rigid_2050,net
BE,18.34280873662658,459.81416347667533,323.9959677335705,17.67789130906847,0.0,0.0,924.0,634.0,rigid_2050,net
DE,20.20527877149137,332.79233075828927,236.45870799361572,20.58046174057717,0.0,0.0,1194.0,726.0,rigid_2050,net
NL,8.049274949295388,329.89895802666047,171.52162666314848,6.617279318061482,0.0,0.0,517.0,287.0,rigid_2050,gross
BE,18.345239086433164,459.83638307857683,324.0116243496822,17.67789130906847,0.0,0.0,924.0,634.0,rigid_2050,gross
DE,21.141922379271318,338.9958609809498,240.82265950456372,20.58046174057717,0.0,0.0,1229.0,756.0,rigid_2050,gross
