Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-10-26 21:00:00;0;1000000;1000000;88.76;0.01;0.0;0.0;0.0
2022-10-26 22:00:00;0;1000000;1000000;87.5;0.01;0.0;0.0;0.0
2022-10-26 23:00:00;0;1000000;1000000;76.63;0.01;0.0;0.0;0.0
2022-10-27 00:00:00;0;1000000;1000000;92.22;0.01;0.0;0.0;0.0
2022-10-27 01:00:00;0;1000000;1000000;84.0;0.01;0.0;0.0;0.0
2022-10-27 02:00:00;0;1000000;1000000;82.23;0.01;0.0;0.0;0.0
2022-10-27 03:00:00;0;1000000;1000000;79.41;0.01;0.0;0.0;0.0
2022-10-27 04:00:00;0;1000000;1000000;78.79;0.01;0.0;0.0;0.0
2022-10-27 05:00:00;0;1000000;1000000;85.14;0.01;0.0;0.0;0.0
2022-10-27 06:00:00;0;1000000;1000000;89.21;0.01;0.0;0.0;0.0
2022-10-27 07:00:00;0;1000000;1000000;88.05;0.01;0.0;0.0;0.0
2022-10-27 08:00:00;0;1000000;1000000;84.34;0.01;0.0;0.0;0.0
2022-10-27 09:00:00;0;1000000;1000000;66.48;0.01;0.0;0.0;0.0
2022-10-27 10:00:00;0;1000000;1000000;54.72;0.01;0.0;0.0;0.0
2022-10-27 11:00:00;0;1000000;1000000;42.5;0.01;0.0;0.0;0.0
2022-10-27 12:00:00;0;1000000;1000000;39.99;0.01;0.0;0.0;0.0
2022-10-27 13:00:00;0;1000000;1000000;40.0;0.01;0.0;0.0;0.0
2022-10-27 14:00:00;0;1000000;1000000;64.33;0.01;0.0;0.0;0.0
2022-10-27 15:00:00;0;1000000;1000000;111.53;0.01;0.0;0.0;0.0
2022-10-27 16:00:00;0;1000000;1000000;123.67;0.01;0.0;0.0;0.0
2022-10-27 17:00:00;0;1000000;1000000;148.3;0.01;0.0;0.0;0.0
2022-10-27 18:00:00;0;1000000;1000000;145.71;0.01;0.0;0.0;0.0
2022-10-27 19:00:00;0;1000000;1000000;130.47;0.01;0.0;0.0;0.0
2022-10-27 20:00:00;0;1000000;1000000;118.15;0.01;0.0;0.0;0.0
2022-10-27 21:00:00;0;1000000;1000000;112.01;0.01;0.0;0.0;0.0
2022-10-27 22:00:00;0;1000000;1000000;113.68;0.01;0.0;0.0;0.0
2022-10-27 23:00:00;0;1000000;1000000;102.99;0.01;0.0;0.0;0.0
2022-10-28 00:00:00;0;1000000;1000000;95.6;0.01;0.0;0.0;0.0
2022-10-28 01:00:00;0;1000000;1000000;94.37;0.01;0.0;0.0;0.0
2022-10-28 02:00:00;0;1000000;1000000;88.74;0.01;0.0;0.0;0.0
2022-10-28 03:00:00;0;1000000;1000000;84.09;0.01;0.0;0.0;0.0
2022-10-28 04:00:00;0;1000000;1000000;86.26;0.01;0.0;0.0;0.0
2022-10-28 05:00:00;0;1000000;1000000;99.93;0.01;0.0;0.0;0.0
2022-10-28 06:00:00;0;1000000;1000000;109.92;0.01;0.0;0.0;0.0
2022-10-28 07:00:00;0;1000000;1000000;130.01;0.01;0.0;0.0;0.0
2022-10-28 08:00:00;0;1000000;1000000;127.38;0.01;0.0;0.0;0.0
2022-10-28 09:00:00;0;1000000;1000000;116.18;0.01;0.0;0.0;0.0
2022-10-28 10:00:00;0;1000000;1000000;97.61;0.01;0.0;0.0;0.0
2022-10-28 11:00:00;0;1000000;1000000;98.31;0.01;0.0;0.0;0.0
2022-10-28 12:00:00;0;1000000;1000000;94.93;0.01;0.0;0.0;0.0
2022-10-28 13:00:00;0;1000000;1000000;101.33;0.01;0.0;0.0;0.0
2022-10-28 14:00:00;0;1000000;1000000;113.93;0.01;0.0;0.0;0.0
2022-10-28 15:00:00;0;1000000;1000000;121.36;0.01;0.0;0.0;0.0
2022-10-28 16:00:00;0;1000000;1000000;124.2;0.01;0.0;0.0;0.0
2022-10-28 17:00:00;0;1000000;1000000;141.11;0.01;0.0;0.0;0.0
2022-10-28 18:00:00;0;1000000;1000000;148.8;0.01;0.0;0.0;0.0
2022-10-28 19:00:00;0;1000000;1000000;146.12;0.01;0.0;0.0;0.0
2022-10-28 20:00:00;0;1000000;1000000;124.19;0.01;0.0;0.0;0.0
2022-10-28 21:00:00;0;1000000;1000000;115.59;0.01;0.0;0.0;0.0
2022-10-28 22:00:00;0;1000000;1000000;109.96;0.01;0.0;0.0;0.0
2022-10-28 23:00:00;0;1000000;1000000;102.41;0.01;0.0;0.0;0.0
2022-10-29 00:00:00;0;1000000;1000000;101.34;0.01;0.0;0.0;0.0
2022-10-29 01:00:00;0;1000000;1000000;100.04;0.01;0.0;0.0;0.0
2022-10-29 02:00:00;0;1000000;1000000;98.83;0.01;0.0;0.0;0.0
2022-10-29 03:00:00;0;1000000;1000000;98.17;0.01;0.0;0.0;0.0
2022-10-29 04:00:00;0;1000000;1000000;100.02;0.01;0.0;0.0;0.0
2022-10-29 05:00:00;0;1000000;1000000;113.1;0.01;0.0;0.0;0.0
2022-10-29 06:00:00;0;1000000;1000000;127.38;0.01;0.0;0.0;0.0
